Region,County,District,District Name,Row,Staff,FTE Count,Total Base Pay,Average Base Pay
15,CROCKETT COUNTY,53001,CROCKETT COUNTY CONSOLIDATED CSD,41700,EDUCATIONAL AIDE,20.00,356672.00,17834.00
15,CROCKETT COUNTY,53001,CROCKETT COUNTY CONSOLIDATED CSD,49998,TOTAL PARAPROFESSIONAL STAFF,20.00,356672.00,17834.00
15,CROCKETT COUNTY,53001,CROCKETT COUNTY CONSOLIDATED CSD,50000,AUXILIARY,36.58,1026237.00,28052.00
15,CROCKETT COUNTY,53001,CROCKETT COUNTY CONSOLIDATED CSD,99999,TOTAL PERSONNEL,142.00,5380387.00,37890.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10002,PRE-KINDERGARTEN,1.61,54496.00,33888.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10003,KINDERGARTEN,2.50,91600.00,36640.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10006,ELEMENTARY (GRADES 1-6),1.08,50201.00,46625.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),1.20,63161.00,52582.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10009,ALL GRADE LEVELS,4.81,217076.00,45137.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10012,GRADE 1,2.20,96712.00,43964.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10013,GRADE 2,2.01,79178.00,39445.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10014,GRADE 3,2.20,91354.00,41528.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10015,GRADE 4,2.20,68152.00,30978.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10016,GRADE 5,2.20,69334.00,31515.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10017,GRADE 6,1.68,80688.00,48163.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10018,GRADE 7,0.93,45177.00,48750.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10019,GRADE 8,1.31,63539.00,48451.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,10020,GRADES 9-12,11.89,537320.00,45202.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,19998,TOTAL TEACHING STAFF,37.80,1607988.00,42536.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,21300,COUNSELOR,1.00,54954.00,54954.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,23500,SCHOOL NURSE,1.00,46124.00,46124.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,29998,TOTAL SUPPORT STAFF,2.00,101078.00,50539.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,30800,BUSINESS MANAGER,1.00,65128.00,65128.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,33100,PRINCIPAL,2.00,139220.00,69610.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,88150.00,88150.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,39998,TOTAL ADMINISTRATIVE STAFF,4.00,292498.00,73125.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,39999,TOTAL PROFESSIONAL STAFF,43.80,2001564.00,45695.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,41700,EDUCATIONAL AIDE,11.00,184971.00,16816.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,49998,TOTAL PARAPROFESSIONAL STAFF,11.00,184971.00,16816.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,50000,AUXILIARY,18.43,445242.00,24154.00
17,CROSBY COUNTY,54901,CROSBYTON CISD,99999,TOTAL PERSONNEL,73.24,2631777.00,35936.00
17,CROSBY COUNTY,54902,LORENZO ISD,10002,PRE-KINDERGARTEN,1.00,45475.00,45475.00
17,CROSBY COUNTY,54902,LORENZO ISD,10003,KINDERGARTEN,2.45,83970.00,34268.00
17,CROSBY COUNTY,54902,LORENZO ISD,10006,ELEMENTARY (GRADES 1-6),1.72,82455.00,47878.00
17,CROSBY COUNTY,54902,LORENZO ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),1.13,59352.00,52413.00
17,CROSBY COUNTY,54902,LORENZO ISD,10009,ALL GRADE LEVELS,4.18,157882.00,37793.00
17,CROSBY COUNTY,54902,LORENZO ISD,10012,GRADE 1,2.19,78963.00,36020.00
17,CROSBY COUNTY,54902,LORENZO ISD,10013,GRADE 2,2.23,76094.00,34111.00
17,CROSBY COUNTY,54902,LORENZO ISD,10014,GRADE 3,1.12,36472.00,32699.00
17,CROSBY COUNTY,54902,LORENZO ISD,10015,GRADE 4,2.35,105542.00,44866.00
17,CROSBY COUNTY,54902,LORENZO ISD,10016,GRADE 5,2.31,89659.00,38869.00
17,CROSBY COUNTY,54902,LORENZO ISD,10017,GRADE 6,2.00,81486.00,40827.00
17,CROSBY COUNTY,54902,LORENZO ISD,10018,GRADE 7,3.50,146716.00,41962.00
17,CROSBY COUNTY,54902,LORENZO ISD,10019,GRADE 8,1.95,80741.00,41463.00
17,CROSBY COUNTY,54902,LORENZO ISD,10020,GRADES 9-12,11.87,522548.00,44024.00
17,CROSBY COUNTY,54902,LORENZO ISD,19998,TOTAL TEACHING STAFF,39.99,1647355.00,41195.00
17,CROSBY COUNTY,54902,LORENZO ISD,21300,COUNSELOR,2.00,98292.00,49146.00
17,CROSBY COUNTY,54902,LORENZO ISD,21800,EDUCATIONAL DIAGNOSTICIAN,5.60,269072.00,48058.00
17,CROSBY COUNTY,54902,LORENZO ISD,22400,OCCUPATIONAL THERAPIST,1.00,52197.00,52197.00
17,CROSBY COUNTY,54902,LORENZO ISD,23800,SPEECH THRPST/SPEECH-LANG PATH,4.28,202505.00,47277.00
17,CROSBY COUNTY,54902,LORENZO ISD,24400,TEACHER FACILITATOR,1.00,54697.00,54697.00
17,CROSBY COUNTY,54902,LORENZO ISD,29998,TOTAL SUPPORT STAFF,13.88,676763.00,48750.00
17,CROSBY COUNTY,54902,LORENZO ISD,30800,BUSINESS MANAGER,1.00,70962.00,70962.00
17,CROSBY COUNTY,54902,LORENZO ISD,33100,PRINCIPAL,3.00,209333.00,69778.00
17,CROSBY COUNTY,54902,LORENZO ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,0.78,68767.00,87949.00
17,CROSBY COUNTY,54902,LORENZO ISD,39998,TOTAL ADMINISTRATIVE STAFF,4.78,349062.00,72997.00
17,CROSBY COUNTY,54902,LORENZO ISD,39999,TOTAL PROFESSIONAL STAFF,58.65,2673180.00,45576.00
17,CROSBY COUNTY,54902,LORENZO ISD,41700,EDUCATIONAL AIDE,12.89,259154.00,20100.00
17,CROSBY COUNTY,54902,LORENZO ISD,49998,TOTAL PARAPROFESSIONAL STAFF,12.89,259154.00,20100.00
17,CROSBY COUNTY,54902,LORENZO ISD,50000,AUXILIARY,12.81,444056.00,34665.00
17,CROSBY COUNTY,54902,LORENZO ISD,99999,TOTAL PERSONNEL,84.36,3376390.00,40025.00
17,CROSBY COUNTY,54903,RALLS ISD,10002,PRE-KINDERGARTEN,3.00,122076.00,40692.00
17,CROSBY COUNTY,54903,RALLS ISD,10003,KINDERGARTEN,2.00,68750.00,34375.00
17,CROSBY COUNTY,54903,RALLS ISD,10006,ELEMENTARY (GRADES 1-6),0.66,30478.00,46123.00
17,CROSBY COUNTY,54903,RALLS ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),0.78,35628.00,45560.00
17,CROSBY COUNTY,54903,RALLS ISD,10009,ALL GRADE LEVELS,3.26,139708.00,42825.00
17,CROSBY COUNTY,54903,RALLS ISD,10012,GRADE 1,3.21,133953.00,41675.00
17,CROSBY COUNTY,54903,RALLS ISD,10013,GRADE 2,3.21,112153.00,34893.00
17,CROSBY COUNTY,54903,RALLS ISD,10014,GRADE 3,3.21,107772.00,33527.00
17,CROSBY COUNTY,54903,RALLS ISD,10015,GRADE 4,2.14,74975.00,34986.00
17,CROSBY COUNTY,54903,RALLS ISD,10016,GRADE 5,3.21,112084.00,34875.00
17,CROSBY COUNTY,54903,RALLS ISD,10017,GRADE 6,2.26,91509.00,40548.00
17,CROSBY COUNTY,54903,RALLS ISD,10018,GRADE 7,2.53,94195.00,37187.00
17,CROSBY COUNTY,54903,RALLS ISD,10019,GRADE 8,1.45,50018.00,34505.00
17,CROSBY COUNTY,54903,RALLS ISD,10020,GRADES 9-12,21.27,886411.00,41675.00
17,CROSBY COUNTY,54903,RALLS ISD,19998,TOTAL TEACHING STAFF,52.21,2059710.00,39448.00
17,CROSBY COUNTY,54903,RALLS ISD,21300,COUNSELOR,1.00,49634.00,49634.00
17,CROSBY COUNTY,54903,RALLS ISD,22800,OTHR NON-INSTR DISTRICT,2.00,119357.00,59679.00
17,CROSBY COUNTY,54903,RALLS ISD,23500,SCHOOL NURSE,1.00,34393.00,34393.00
17,CROSBY COUNTY,54903,RALLS ISD,29998,TOTAL SUPPORT STAFF,4.00,203384.00,50846.00
17,CROSBY COUNTY,54903,RALLS ISD,30200,ASSISTANT PRINCIPAL,1.34,83377.00,62254.00
17,CROSBY COUNTY,54903,RALLS ISD,30500,ATHLETIC DIRECTOR,0.11,5712.00,52889.00
17,CROSBY COUNTY,54903,RALLS ISD,30800,BUSINESS MANAGER,1.00,73236.00,73236.00
17,CROSBY COUNTY,54903,RALLS ISD,31600,DIST INSTR PGM DIR OR EXC DIR,1.00,73000.00,73000.00
17,CROSBY COUNTY,54903,RALLS ISD,33100,PRINCIPAL,3.34,241920.00,72446.00
17,CROSBY COUNTY,54903,RALLS ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,105615.00,105615.00
17,CROSBY COUNTY,54903,RALLS ISD,39998,TOTAL ADMINISTRATIVE STAFF,7.79,582860.00,74854.00
17,CROSBY COUNTY,54903,RALLS ISD,39999,TOTAL PROFESSIONAL STAFF,64.00,2845954.00,44468.00
17,CROSBY COUNTY,54903,RALLS ISD,41700,EDUCATIONAL AIDE,12.53,240922.00,19220.00
17,CROSBY COUNTY,54903,RALLS ISD,49998,TOTAL PARAPROFESSIONAL STAFF,12.53,240922.00,19220.00
17,CROSBY COUNTY,54903,RALLS ISD,50000,AUXILIARY,15.07,458046.00,30395.00
17,CROSBY COUNTY,54903,RALLS ISD,99999,TOTAL PERSONNEL,91.60,3544922.00,38698.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10002,PRE-KINDERGARTEN,1.00,55452.00,55452.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10003,KINDERGARTEN,2.06,77596.00,37655.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10006,ELEMENTARY (GRADES 1-6),2.32,116165.00,50119.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),1.48,73724.00,49689.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10009,ALL GRADE LEVELS,0.02,975.00,52139.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10012,GRADE 1,1.83,91924.00,50309.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10013,GRADE 2,1.88,83870.00,44503.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10014,GRADE 3,2.52,115088.00,45626.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10015,GRADE 4,1.73,94382.00,54503.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10016,GRADE 5,1.40,56388.00,40243.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10017,GRADE 6,1.55,64984.00,41925.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10018,GRADE 7,1.76,78344.00,44393.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10019,GRADE 8,1.49,69497.00,46777.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,10020,GRADES 9-12,13.45,605489.00,45018.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,19998,TOTAL TEACHING STAFF,34.50,1583878.00,45912.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,21300,COUNSELOR,0.19,10074.00,52278.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,22800,OTHR NON-INSTR DISTRICT,2.00,83465.00,41733.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,29998,TOTAL SUPPORT STAFF,2.19,93539.00,42659.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,30500,ATHLETIC DIRECTOR,0.14,10400.00,72778.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,30800,BUSINESS MANAGER,1.00,72775.00,72775.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,31600,DIST INSTR PGM DIR OR EXC DIR,1.00,75338.00,75338.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,33100,PRINCIPAL,2.00,151588.00,75794.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,101000.00,101000.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,39998,TOTAL ADMINISTRATIVE STAFF,5.14,411101.00,79936.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,39999,TOTAL PROFESSIONAL STAFF,41.83,2088518.00,49924.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,41700,EDUCATIONAL AIDE,8.12,151147.00,18605.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,49998,TOTAL PARAPROFESSIONAL STAFF,8.12,151147.00,18605.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,50000,AUXILIARY,15.00,434378.00,28959.00
18,CULBERSON COUNTY,55901,CULBERSON COUNTY-ALLAMOORE ISD,99999,TOTAL PERSONNEL,64.96,2674043.00,41166.00
16,DALLAM COUNTY,56901,DALHART ISD,10002,PRE-KINDERGARTEN,5.00,200100.00,40020.00
16,DALLAM COUNTY,56901,DALHART ISD,10003,KINDERGARTEN,6.30,262790.00,41714.00
16,DALLAM COUNTY,56901,DALHART ISD,10005,KINDERGARTEN/ELEMENTARY (K-6),2.84,120904.00,42528.00
16,DALLAM COUNTY,56901,DALHART ISD,10006,ELEMENTARY (GRADES 1-6),2.74,123655.00,45130.00
16,DALLAM COUNTY,56901,DALHART ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),1.68,69018.00,41094.00
16,DALLAM COUNTY,56901,DALHART ISD,10009,ALL GRADE LEVELS,15.72,694635.00,44199.00
16,DALLAM COUNTY,56901,DALHART ISD,10012,GRADE 1,6.69,282359.00,42176.00
16,DALLAM COUNTY,56901,DALHART ISD,10013,GRADE 2,4.73,212889.00,44992.00
16,DALLAM COUNTY,56901,DALHART ISD,10014,GRADE 3,6.76,272768.00,40376.00
16,DALLAM COUNTY,56901,DALHART ISD,10015,GRADE 4,7.28,309436.00,42520.00
16,DALLAM COUNTY,56901,DALHART ISD,10016,GRADE 5,6.72,281908.00,41937.00
16,DALLAM COUNTY,56901,DALHART ISD,10017,GRADE 6,8.79,355867.00,40497.00
16,DALLAM COUNTY,56901,DALHART ISD,10018,GRADE 7,7.19,278986.00,38807.00
16,DALLAM COUNTY,56901,DALHART ISD,10019,GRADE 8,4.33,189246.00,43693.00
16,DALLAM COUNTY,56901,DALHART ISD,10020,GRADES 9-12,45.80,2046339.00,44679.00
16,DALLAM COUNTY,56901,DALHART ISD,19998,TOTAL TEACHING STAFF,132.57,5700900.00,43003.00
16,DALLAM COUNTY,56901,DALHART ISD,21300,COUNSELOR,3.00,187660.00,62553.00
16,DALLAM COUNTY,56901,DALHART ISD,21800,EDUCATIONAL DIAGNOSTICIAN,2.00,110554.00,55277.00
16,DALLAM COUNTY,56901,DALHART ISD,22100,LIBRARIAN,1.00,46967.00,46967.00
16,DALLAM COUNTY,56901,DALHART ISD,22800,OTHR NON-INSTR DISTRICT,4.32,268102.00,62048.00
16,DALLAM COUNTY,56901,DALHART ISD,23500,SCHOOL NURSE,2.00,84800.00,42400.00
16,DALLAM COUNTY,56901,DALHART ISD,29998,TOTAL SUPPORT STAFF,12.32,698083.00,56658.00
16,DALLAM COUNTY,56901,DALHART ISD,30200,ASSISTANT PRINCIPAL,3.00,194521.00,64840.00
16,DALLAM COUNTY,56901,DALHART ISD,30500,ATHLETIC DIRECTOR,0.57,53198.00,93101.00
16,DALLAM COUNTY,56901,DALHART ISD,30800,BUSINESS MANAGER,1.00,89785.00,89785.00
16,DALLAM COUNTY,56901,DALHART ISD,31600,DIST INSTR PGM DIR OR EXC DIR,2.00,159400.00,79700.00
16,DALLAM COUNTY,56901,DALHART ISD,33100,PRINCIPAL,5.00,390141.00,78028.00
16,DALLAM COUNTY,56901,DALHART ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,137700.00,137700.00
16,DALLAM COUNTY,56901,DALHART ISD,39998,TOTAL ADMINISTRATIVE STAFF,12.57,1024745.00,81514.00
16,DALLAM COUNTY,56901,DALHART ISD,39999,TOTAL PROFESSIONAL STAFF,157.46,7423728.00,47146.00
16,DALLAM COUNTY,56901,DALHART ISD,41700,EDUCATIONAL AIDE,39.02,786630.00,20160.00
16,DALLAM COUNTY,56901,DALHART ISD,49998,TOTAL PARAPROFESSIONAL STAFF,39.02,786630.00,20160.00
16,DALLAM COUNTY,56901,DALHART ISD,50000,AUXILIARY,24.95,759886.00,30461.00
16,DALLAM COUNTY,56901,DALHART ISD,99999,TOTAL PERSONNEL,221.43,8970244.00,40511.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10002,PRE-KINDERGARTEN,0.19,9801.00,50469.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10003,KINDERGARTEN,1.19,57323.00,48345.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10006,ELEMENTARY (GRADES 1-6),0.33,14305.00,42894.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),0.17,8528.00,51158.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10012,GRADE 1,1.16,40034.00,34551.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10013,GRADE 2,1.14,38480.00,33787.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10014,GRADE 3,1.14,39650.00,34814.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10015,GRADE 4,1.00,36812.00,36709.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10016,GRADE 5,1.24,51096.00,41084.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10017,GRADE 6,1.22,56173.00,46074.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10018,GRADE 7,0.78,36315.00,46528.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10019,GRADE 8,0.47,22422.00,47849.00
16,DALLAM COUNTY,56902,TEXLINE ISD,10020,GRADES 9-12,6.62,324031.00,48932.00
16,DALLAM COUNTY,56902,TEXLINE ISD,19998,TOTAL TEACHING STAFF,16.65,734970.00,44133.00
16,DALLAM COUNTY,56902,TEXLINE ISD,21300,COUNSELOR,0.06,3129.00,50468.00
16,DALLAM COUNTY,56902,TEXLINE ISD,29998,TOTAL SUPPORT STAFF,0.06,3129.00,50468.00
16,DALLAM COUNTY,56902,TEXLINE ISD,33100,PRINCIPAL,0.79,54999.00,70000.00
16,DALLAM COUNTY,56902,TEXLINE ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,95000.00,95000.00
16,DALLAM COUNTY,56902,TEXLINE ISD,39998,TOTAL ADMINISTRATIVE STAFF,1.79,149999.00,84000.00
16,DALLAM COUNTY,56902,TEXLINE ISD,39999,TOTAL PROFESSIONAL STAFF,18.50,888098.00,48002.00
16,DALLAM COUNTY,56902,TEXLINE ISD,41700,EDUCATIONAL AIDE,5.73,107863.00,18816.00
16,DALLAM COUNTY,56902,TEXLINE ISD,49998,TOTAL PARAPROFESSIONAL STAFF,5.73,107863.00,18816.00
16,DALLAM COUNTY,56902,TEXLINE ISD,50000,AUXILIARY,6.00,177381.00,29564.00
16,DALLAM COUNTY,56902,TEXLINE ISD,99999,TOTAL PERSONNEL,30.23,1173342.00,38809.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10003,KINDERGARTEN,1.18,54646.00,46424.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10006,ELEMENTARY (GRADES 1-6),1.49,68270.00,45751.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10007,MIDDLE SCHOOL (GRADES 6 - 8),1.51,74256.00,49232.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10012,GRADE 1,3.23,147227.00,45575.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10013,GRADE 2,2.43,114287.00,47107.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10014,GRADE 3,3.04,140900.00,46312.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10015,GRADE 4,2.70,130186.00,48228.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10016,GRADE 5,3.72,173982.00,46810.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10017,GRADE 6,9.21,441414.00,47920.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10018,GRADE 7,4.07,182841.00,44941.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10019,GRADE 8,2.71,121709.00,44936.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10020,GRADES 9-12,12.49,569112.00,45552.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,19998,TOTAL TEACHING STAFF,47.77,2218830.00,46444.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,21300,COUNSELOR,1.97,97473.00,49464.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,22600,OTHER CAMP PROF PERSONNEL,9.06,386933.00,42688.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,22800,OTHR NON-INSTR DISTRICT,1.00,54000.00,54000.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,24400,TEACHER FACILITATOR,0.05,3086.00,58336.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,29998,TOTAL SUPPORT STAFF,12.09,541492.00,44797.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,30400,ASST/ASSOC/DEPUTY SUPERINTEND.,1.00,122500.00,122500.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,31600,DIST INSTR PGM DIR OR EXC DIR,3.00,186500.00,62167.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,33400,REGISTRAR,1.00,54000.00,54000.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,134400.00,134400.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,39998,TOTAL ADMINISTRATIVE STAFF,6.00,497400.00,82900.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,39999,TOTAL PROFESSIONAL STAFF,65.86,3257722.00,49462.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,41700,EDUCATIONAL AIDE,3.00,77688.00,25896.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,49998,TOTAL PARAPROFESSIONAL STAFF,3.00,77688.00,25896.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,50000,AUXILIARY,17.58,457213.00,26011.00
10,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,99999,TOTAL PERSONNEL,86.44,3792623.00,43876.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10003,KINDERGARTEN,3.81,173642.00,45599.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10005,KINDERGARTEN/ELEMENTARY (K-6),91.04,4384161.00,48158.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10006,ELEMENTARY (GRADES 1-6),3.85,179933.00,46791.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10007,MIDDLE SCHOOL (GRADES 6 - 8),3.62,182592.00,50443.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10009,ALL GRADE LEVELS,12.40,618079.00,49856.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10012,GRADE 1,4.49,206545.00,45970.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10013,GRADE 2,4.57,205978.00,45089.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10014,GRADE 3,3.42,153526.00,44956.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10015,GRADE 4,3.27,149907.00,45845.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10016,GRADE 5,1.54,74321.00,48157.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10017,GRADE 6,6.15,306010.00,49759.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10018,GRADE 7,6.03,323799.00,53721.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10019,GRADE 8,4.58,212788.00,46456.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10020,GRADES 9-12,22.55,1137560.00,50437.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,19998,TOTAL TEACHING STAFF,171.31,8308841.00,48502.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,21300,COUNSELOR,8.00,494992.00,61874.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,22100,LIBRARIAN,2.00,120743.00,60372.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,22200,LSSP/PSYCHOLOGIST,0.94,40409.00,42933.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,22600,OTHER CAMP PROF PERSONNEL,34.81,1939504.00,55712.00
10,DALLAS COUNTY,57803,UPLIFT EDUCATION - NORTH HILLS PRE,22800,OTHR NON-INSTR DISTRICT,27.00,1589979.00,58888.00
